Category: All categories

Day,Quantum Computing: (United Kingdom)
2020-03-01,84
2020-03-02,26
2020-03-03,35
2020-03-04,39
2020-03-05,40
2020-03-06,55
2020-03-07,28
2020-03-08,56
2020-03-09,25
2020-03-10,39
2020-03-11,39
2020-03-12,76
2020-03-13,45
2020-03-14,57
2020-03-15,28
2020-03-16,38
2020-03-17,34
2020-03-18,25
2020-03-19,26
2020-03-20,26
2020-03-21,0
2020-03-22,28
2020-03-23,0
2020-03-24,36
2020-03-25,25
2020-03-26,50
2020-03-27,72
2020-03-28,40
2020-03-29,40
2020-03-30,60
2020-03-31,32
2020-04-01,24
2020-04-02,24
2020-04-03,0
2020-04-04,40
2020-04-05,28
2020-04-06,24
2020-04-07,49
2020-04-08,25
2020-04-09,49
2020-04-10,40
2020-04-11,27
2020-04-12,53
2020-04-13,61
2020-04-14,100
2020-04-15,64
2020-04-16,100
2020-04-17,49
2020-04-18,69
2020-04-19,55
2020-04-20,95
2020-04-21,24
2020-04-22,66
2020-04-23,48
2020-04-24,37
2020-04-25,27
2020-04-26,27
2020-04-27,32
2020-04-28,0
2020-04-29,70
2020-04-30,36
2020-05-01,24
2020-05-02,65
2020-05-03,27
2020-05-04,71
2020-05-05,37
2020-05-06,32
2020-05-07,24
2020-05-08,53
2020-05-09,27
2020-05-10,0
2020-05-11,39
2020-05-12,24
2020-05-13,47
2020-05-14,36
2020-05-15,24
2020-05-16,66
2020-05-17,40
2020-05-18,24
2020-05-19,32
2020-05-20,50
2020-05-21,33
2020-05-22,0
2020-05-23,51
2020-05-24,63
2020-05-25,28
