Category: All categories

Day,Automation: (United Kingdom)
2020-03-01,54
2020-03-02,87
2020-03-03,93
2020-03-04,100
2020-03-05,78
2020-03-06,77
2020-03-07,58
2020-03-08,48
2020-03-09,89
2020-03-10,85
2020-03-11,91
2020-03-12,58
2020-03-13,56
2020-03-14,52
2020-03-15,31
2020-03-16,47
2020-03-17,79
2020-03-18,67
2020-03-19,64
2020-03-20,40
2020-03-21,55
2020-03-22,66
2020-03-23,56
2020-03-24,67
2020-03-25,61
2020-03-26,56
2020-03-27,48
2020-03-28,44
2020-03-29,43
2020-03-30,84
2020-03-31,64
2020-04-01,63
2020-04-02,65
2020-04-03,54
2020-04-04,44
2020-04-05,50
2020-04-06,50
2020-04-07,59
2020-04-08,55
2020-04-09,69
2020-04-10,44
2020-04-11,39
2020-04-12,43
2020-04-13,34
2020-04-14,72
2020-04-15,74
2020-04-16,66
2020-04-17,60
2020-04-18,38
2020-04-19,41
2020-04-20,63
2020-04-21,69
2020-04-22,75
2020-04-23,70
2020-04-24,67
2020-04-25,68
2020-04-26,40
2020-04-27,58
2020-04-28,65
2020-04-29,58
2020-04-30,61
2020-05-01,56
2020-05-02,42
2020-05-03,30
2020-05-04,67
2020-05-05,76
2020-05-06,77
2020-05-07,91
2020-05-08,74
2020-05-09,62
2020-05-10,59
2020-05-11,70
2020-05-12,76
2020-05-13,59
2020-05-14,75
2020-05-15,82
2020-05-16,42
2020-05-17,57
2020-05-18,76
2020-05-19,56
2020-05-20,73
2020-05-21,79
2020-05-22,75
2020-05-23,35
2020-05-24,40
2020-05-25,48
