Category: All categories

Day,Computer Vision: (United Kingdom)
2020-03-01,29
2020-03-02,81
2020-03-03,36
2020-03-04,27
2020-03-05,69
2020-03-06,99
2020-03-07,29
2020-03-08,43
2020-03-09,52
2020-03-10,27
2020-03-11,40
2020-03-12,0
2020-03-13,27
2020-03-14,44
2020-03-15,28
2020-03-16,0
2020-03-17,53
2020-03-18,26
2020-03-19,66
2020-03-20,40
2020-03-21,48
2020-03-22,44
2020-03-23,23
2020-03-24,50
2020-03-25,0
2020-03-26,39
2020-03-27,36
2020-03-28,27
2020-03-29,28
2020-03-30,33
2020-03-31,25
2020-04-01,100
2020-04-02,25
2020-04-03,51
2020-04-04,37
2020-04-05,38
2020-04-06,25
2020-04-07,51
2020-04-08,52
2020-04-09,51
2020-04-10,27
2020-04-11,28
2020-04-12,41
2020-04-13,40
2020-04-14,38
2020-04-15,61
2020-04-16,51
2020-04-17,25
2020-04-18,27
2020-04-19,0
2020-04-20,24
2020-04-21,75
2020-04-22,26
2020-04-23,24
2020-04-24,25
2020-04-25,28
2020-04-26,55
2020-04-27,61
2020-04-28,40
2020-04-29,48
2020-04-30,22
2020-05-01,49
2020-05-02,27
2020-05-03,27
2020-05-04,24
2020-05-05,0
2020-05-06,25
2020-05-07,33
2020-05-08,40
2020-05-09,42
2020-05-10,39
2020-05-11,48
2020-05-12,49
2020-05-13,36
2020-05-14,41
2020-05-15,38
2020-05-16,27
2020-05-17,42
2020-05-18,37
2020-05-19,50
2020-05-20,39
2020-05-21,38
2020-05-22,57
2020-05-23,0
2020-05-24,28
2020-05-25,57
