,Big Data,Business Cards,Content Marketing,Customer Journey,Digital Marketing,Gamification,Generation Y,Generation Z,Growth Hacking,Ideation,Millennials,Offshoring,Real Estate,ROI,Sustainability,Value Investing,Amazon,Apple,BMW,EasyJet,Facebook,IBM,McDonalds,Microsoft,Nike,Ocado,Slack,Tesco,Tesla,Uber,Walt Disney,Zoom,BBC News,Daily Mail,Disney,Economist,FT,HBO,Independent,Live Streaming,Netflix,NowTV,Telegraph,The Guardian,TikTok,Twitch,Vimeo,Youtube,ks2 maths,baking,drawing,emotional intelligence,home workout,how to buy stocks,how to code,how to make a mask,internships,learn a language,online courses,painting,sewing,supermarket jobs,volunteering,working from home,5G,Artificial Intelligence,Augmented Reality,Automation,Blockchain,Internet of Things,Machine Learning,Natural Language Processing,Robotics,Virtual Reality,Web 2.0,Cloud Computing,Computer Vision,Disruptive technologies,Digital Divide,Quantum Computing,Day
1,73.0,86.0,63.0,69.0,76.0,55.0,54.0,54.0,0.0,65.0,70.0,72.0,73.0,85.0,88.0,45.0,62.0,61.0,87.0,42.0,72.0,86.0,15.0,39.0,44.0,13.0,34.0,34.0,76.0,53.0,32.0,5.0,35.0,68.0,10.0,67.0,72.0,24.0,81.0,16.0,42.0,55.0,75.0,52.0,32.0,38.0,53.0,68.0,38.0,21.0,42.0,90.0,8.0,35.0,58.0,2.0,83.0,52.0,27.0,43.0,26.0,3.0,3.0,7.0,9.0,63.0,33.0,87.0,78.0,25.0,74.0,42.0,100.0,45.0,35.0,78.0,81.0,0.0,37.0,26.0,02/03/2020
2,47.0,100.0,49.0,45.0,77.0,46.0,36.0,59.0,0.0,74.0,70.0,0.0,100.0,75.0,100.0,0.0,61.0,66.0,87.0,36.0,71.0,85.0,16.0,39.0,46.0,15.0,38.0,34.0,75.0,51.0,33.0,6.0,36.0,72.0,11.0,63.0,70.0,22.0,76.0,23.0,39.0,62.0,77.0,53.0,29.0,36.0,58.0,70.0,28.0,20.0,51.0,69.0,5.0,0.0,69.0,2.0,87.0,22.0,24.0,47.0,24.0,5.0,3.0,9.0,7.0,76.0,56.0,93.0,71.0,74.0,87.0,85.0,79.0,39.0,35.0,73.0,36.0,0.0,36.0,35.0,03/03/2020
3,44.0,71.0,77.0,45.0,100.0,55.0,59.0,70.0,0.0,33.0,75.0,71.0,88.0,73.0,73.0,0.0,61.0,57.0,89.0,39.0,71.0,65.0,17.0,39.0,44.0,13.0,33.0,34.0,84.0,49.0,29.0,5.0,39.0,71.0,10.0,52.0,70.0,32.0,78.0,35.0,38.0,54.0,77.0,52.0,30.0,38.0,59.0,70.0,41.0,21.0,46.0,56.0,9.0,18.0,68.0,2.0,68.0,25.0,23.0,45.0,25.0,2.0,3.0,10.0,5.0,63.0,34.0,100.0,93.0,25.0,76.0,43.0,64.0,42.0,35.0,47.0,27.0,0.0,0.0,39.0,04/03/2020
4,88.0,79.0,86.0,51.0,59.0,42.0,36.0,41.0,49.0,38.0,63.0,37.0,81.0,51.0,76.0,46.0,59.0,58.0,86.0,52.0,71.0,79.0,18.0,38.0,46.0,14.0,37.0,35.0,74.0,57.0,37.0,5.0,43.0,76.0,9.0,38.0,67.0,42.0,81.0,25.0,39.0,59.0,80.0,63.0,31.0,36.0,52.0,72.0,33.0,20.0,49.0,28.0,6.0,18.0,67.0,2.0,78.0,40.0,26.0,41.0,26.0,2.0,3.0,6.0,7.0,83.0,50.0,78.0,62.0,41.0,94.0,0.0,93.0,30.0,36.0,64.0,69.0,0.0,0.0,40.0,05/03/2020
5,100.0,63.0,66.0,73.0,66.0,58.0,37.0,23.0,50.0,91.0,91.0,0.0,91.0,45.0,63.0,0.0,60.0,62.0,100.0,38.0,73.0,78.0,20.0,39.0,48.0,11.0,25.0,35.0,73.0,72.0,38.0,5.0,38.0,73.0,11.0,67.0,65.0,55.0,72.0,25.0,47.0,66.0,80.0,56.0,32.0,43.0,48.0,73.0,34.0,20.0,50.0,51.0,4.0,18.0,54.0,2.0,82.0,31.0,19.0,41.0,28.0,1.0,2.0,10.0,6.0,55.0,39.0,77.0,45.0,63.0,74.0,0.0,45.0,34.0,36.0,71.0,99.0,0.0,0.0,55.0,06/03/2020
6,95.0,50.0,38.0,86.0,60.0,30.0,58.0,47.0,0.0,27.0,88.0,39.0,58.0,28.0,33.0,0.0,60.0,67.0,94.0,29.0,75.0,25.0,26.0,19.0,56.0,12.0,11.0,36.0,71.0,84.0,36.0,4.0,31.0,67.0,13.0,42.0,62.0,37.0,61.0,47.0,54.0,56.0,66.0,49.0,43.0,43.0,37.0,76.0,20.0,26.0,44.0,23.0,4.0,19.0,62.0,1.0,45.0,16.0,24.0,48.0,28.0,1.0,1.0,5.0,6.0,28.0,18.0,58.0,43.0,16.0,57.0,69.0,46.0,100.0,0.0,46.0,29.0,0.0,0.0,28.0,07/03/2020
7,28.0,72.0,30.0,63.0,72.0,44.0,38.0,69.0,50.0,52.0,54.0,0.0,68.0,48.0,39.0,48.0,61.0,64.0,90.0,36.0,75.0,37.0,25.0,22.0,55.0,14.0,12.0,41.0,63.0,69.0,41.0,4.0,33.0,68.0,13.0,36.0,60.0,39.0,78.0,71.0,53.0,85.0,72.0,47.0,42.0,47.0,37.0,74.0,19.0,29.0,54.0,22.0,9.0,19.0,67.0,2.0,74.0,37.0,26.0,52.0,28.0,3.0,2.0,5.0,7.0,44.0,32.0,48.0,49.0,16.0,44.0,45.0,42.0,55.0,37.0,78.0,43.0,0.0,39.0,56.0,08/03/2020
8,58.0,72.0,94.0,67.0,67.0,27.0,68.0,36.0,45.0,59.0,44.0,34.0,80.0,68.0,81.0,0.0,55.0,58.0,86.0,45.0,72.0,100.0,15.0,40.0,53.0,16.0,40.0,34.0,80.0,52.0,34.0,6.0,48.0,77.0,10.0,78.0,71.0,33.0,86.0,22.0,39.0,56.0,83.0,60.0,31.0,33.0,60.0,69.0,38.0,18.0,45.0,47.0,8.0,79.0,67.0,1.0,100.0,38.0,26.0,40.0,26.0,2.0,3.0,15.0,9.0,53.0,43.0,89.0,100.0,81.0,92.0,41.0,41.0,41.0,34.0,45.0,52.0,0.0,53.0,25.0,09/03/2020
9,64.0,74.0,55.0,39.0,67.0,36.0,87.0,63.0,0.0,40.0,45.0,0.0,75.0,67.0,95.0,66.0,57.0,57.0,81.0,49.0,71.0,85.0,15.0,43.0,46.0,17.0,38.0,35.0,82.0,51.0,34.0,6.0,48.0,79.0,9.0,56.0,66.0,25.0,81.0,34.0,35.0,50.0,86.0,69.0,31.0,40.0,48.0,70.0,41.0,27.0,47.0,48.0,6.0,60.0,55.0,1.0,52.0,44.0,28.0,38.0,25.0,4.0,3.0,16.0,13.0,100.0,29.0,85.0,74.0,49.0,94.0,62.0,54.0,42.0,51.0,41.0,27.0,0.0,0.0,39.0,10/03/2020
10,64.0,66.0,28.0,39.0,80.0,27.0,70.0,48.0,0.0,0.0,32.0,0.0,74.0,72.0,84.0,74.0,55.0,57.0,75.0,39.0,71.0,90.0,15.0,43.0,43.0,18.0,37.0,34.0,80.0,59.0,28.0,7.0,57.0,82.0,8.0,53.0,67.0,39.0,76.0,50.0,34.0,35.0,88.0,66.0,31.0,41.0,47.0,69.0,47.0,22.0,48.0,41.0,5.0,52.0,62.0,2.0,57.0,59.0,21.0,38.0,25.0,2.0,2.0,21.0,13.0,73.0,19.0,91.0,53.0,29.0,80.0,84.0,54.0,45.0,0.0,67.0,40.0,0.0,0.0,39.0,11/03/2020
